experiment_name,model_name,f1_score,precision,recall,conf_matrix
feats_sel_top30,"LogisticRegression(C=0.1,class_weight=balanced,dual=False,fit_intercept=True,intercept_scaling=1,l1_ratio=None,max_iter=1000,multi_class=deprecated,n_jobs=2,penalty=l2,random_state=32,solver=lbfgs,tol=0.0001,verbose=0,warm_start=False)",0.3157894736842105,0.84375,0.1942446043165467,"[[14337   195]
 [ 4368  1053]]"
feats_sel_top30,"DecisionTreeClassifier(ccp_alpha=0.0,class_weight=balanced,criterion=gini,max_depth=13,max_features=None,max_leaf_nodes=None,min_impurity_decrease=0.0,min_samples_leaf=1,min_samples_split=2,min_weight_fraction_leaf=0.0,monotonic_cst=None,random_state=32,splitter=best)",0.3595467032967033,0.8389423076923077,0.2288024475524475,"[[15176   201]
 [ 3529  1047]]"
feats_sel_top30,"RandomForestClassifier(bootstrap=True,ccp_alpha=0.0,class_weight=balanced,criterion=gini,max_depth=3,max_features=0.3,max_leaf_nodes=None,max_samples=None,min_impurity_decrease=0.0,min_samples_leaf=1,min_samples_split=2,min_weight_fraction_leaf=0.0,monotonic_cst=None,n_estimators=1500,n_jobs=2,oob_score=False,random_state=32,verbose=0,warm_start=False)",0.2676358436606291,0.8998397435897436,0.1571948488241881,"[[12684   125]
 [ 6021  1123]]"
feats_sel_top30,"CatBoostClassifier(iterations=1000,silent=True,task_type=CPU,random_state=32)",0.3575615474794841,0.2443910256410256,0.665938864628821,"[[18552   943]
 [  153   305]]"
feats_sel_top20,"LogisticRegression(C=0.1,class_weight=balanced,dual=False,fit_intercept=True,intercept_scaling=1,l1_ratio=None,max_iter=1000,multi_class=deprecated,n_jobs=2,penalty=l2,random_state=32,solver=lbfgs,tol=0.0001,verbose=0,warm_start=False)",0.3168347082187595,0.8309294871794872,0.1957342393355983,"[[14444   211]
 [ 4261  1037]]"
feats_sel_top20,"DecisionTreeClassifier(ccp_alpha=0.0,class_weight=balanced,criterion=gini,max_depth=13,max_features=None,max_leaf_nodes=None,min_impurity_decrease=0.0,min_samples_leaf=1,min_samples_split=2,min_weight_fraction_leaf=0.0,monotonic_cst=None,random_state=32,splitter=best)",0.3543871628542164,0.8317307692307693,0.2251626898047722,"[[15133   210]
 [ 3572  1038]]"
feats_sel_top20,"RandomForestClassifier(bootstrap=True,ccp_alpha=0.0,class_weight=balanced,criterion=gini,max_depth=3,max_features=0.3,max_leaf_nodes=None,max_samples=None,min_impurity_decrease=0.0,min_samples_leaf=1,min_samples_split=2,min_weight_fraction_leaf=0.0,monotonic_cst=None,n_estimators=1500,n_jobs=2,oob_score=False,random_state=32,verbose=0,warm_start=False)",0.2576325048235161,0.9094551282051282,0.1500727224646304,"[[12277   113]
 [ 6428  1135]]"
feats_sel_top20,"CatBoostClassifier(iterations=1000,silent=True,task_type=CPU,random_state=32)",0.3563892145369285,0.2435897435897435,0.6637554585152838,"[[18551   944]
 [  154   304]]"
feats_sel_top10,"LogisticRegression(C=0.1,class_weight=balanced,dual=False,fit_intercept=True,intercept_scaling=1,l1_ratio=None,max_iter=1000,multi_class=deprecated,n_jobs=2,penalty=l2,random_state=32,solver=lbfgs,tol=0.0001,verbose=0,warm_start=False)",0.1937382297551789,0.6594551282051282,0.1135485651214128,"[[12280   425]
 [ 6425   823]]"
feats_sel_top10,"DecisionTreeClassifier(ccp_alpha=0.0,class_weight=balanced,criterion=gini,max_depth=13,max_features=None,max_leaf_nodes=None,min_impurity_decrease=0.0,min_samples_leaf=1,min_samples_split=2,min_weight_fraction_leaf=0.0,monotonic_cst=None,random_state=32,splitter=best)",0.3640888888888889,0.8205128205128205,0.2339501941969385,"[[15352   224]
 [ 3353  1024]]"
feats_sel_top10,"RandomForestClassifier(bootstrap=True,ccp_alpha=0.0,class_weight=balanced,criterion=gini,max_depth=3,max_features=0.3,max_leaf_nodes=None,max_samples=None,min_impurity_decrease=0.0,min_samples_leaf=1,min_samples_split=2,min_weight_fraction_leaf=0.0,monotonic_cst=None,n_estimators=1500,n_jobs=2,oob_score=False,random_state=32,verbose=0,warm_start=False)",0.2580059050647286,0.9102564102564102,0.1503043133103996,"[[12283   112]
 [ 6422  1136]]"
feats_sel_top10,"CatBoostClassifier(iterations=1000,silent=True,task_type=CPU,random_state=32)",0.3107033639143731,0.20352564102564102,0.6563307493540051,"[[18572   994]
 [  133   254]]"
